url, google maps link, basic info, walking, bicycling, transit,
https://chicago.craigslist.org/chc/apa/d/chicago-avail-commonwealth-ave-4k-2-bed/7127358439.html, https://www.google.com/maps/search/41.923832,-87.638253, 2BR  /  1Ba 1200 ft 2 application fee details:  $30 Application Fee for credit check and processing cats are OK - purrr dogs are OK - wooof condo w/d in unit no smoking attached garage, 1 hour 28 mins, 27 mins, 43 mins,
https://chicago.craigslist.org/sox/apa/d/glencoe-1st-month-free-limited-time/7127357673.html, https://www.google.com/maps/search/42.163959,-87.772527, 3BR  /  2Ba 1144 ft 2 cats are OK - purrr dogs are OK - wooof apartment laundry in bldg off-street parking, 7 hours 27 mins, 2 hours 13 mins, 1 hour 29 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-one-bedroom-apartment/7127357303.html, https://www.google.com/maps/search/41.953220,-87.665988, 1BR  /  1Ba available may 20 cats are OK - purrr dogs are OK - wooof apartment laundry on site street parking, 2 hours 8 mins, 42 mins, 56 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-wicker-park-1-bed-utilities/7127355910.html, https://www.google.com/maps/search/41.908632,-87.674854, 1BR  /  1Ba 1000 ft 2 available jun 1 cats are OK - purrr furnished apartment w/d in unit no smoking off-street parking, 1 hour 9 mins, 22 mins, 29 mins,
https://chicago.craigslist.org/sox/apa/d/glencoe-spring-special-1-month-free/7127355416.html, https://www.google.com/maps/search/42.163959,-87.772527, 2BR  /  1Ba 881 ft 2 cats are OK - purrr dogs are OK - wooof apartment laundry in bldg off-street parking, 7 hours 27 mins, 2 hours 13 mins, 1 hour 29 mins,
https://chicago.craigslist.org/wcl/apa/d/glen-ellyn-glen-ellyn-1-bedroom/7127354565.html, https://www.google.com/maps/search/41.877968,-88.055709, 1BR  /  1Ba 550 ft 2 available may 22 apartment laundry on site no smoking off-street parking, 7 hours 20 mins, 2 hours 15 mins, 1 hour 18 mins,
https://chicago.craigslist.org/nch/apa/d/evanston-downtown-evanston-c-d-den-and/7127351371.html, https://www.google.com/maps/search/42.048145,-87.677014, 4BR  /  2Ba available may 20 application fee details:  $40 application fee for background and credit check cats are OK - purrr apartment w/d in unit no smoking attached garage wheelchair accessible, 4 hours 20 mins, 1 hour 24 mins, 1 hour 2 mins,
https://chicago.craigslist.org/sox/apa/d/glencoe-special-dishwasher-on-site/7127351294.html, https://www.google.com/maps/search/42.163959,-87.772527, 1BR  /  1Ba 571 ft 2 cats are OK - purrr dogs are OK - wooof apartment laundry in bldg off-street parking, 7 hours 27 mins, 2 hours 13 mins, 1 hour 29 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-balcony-modern-finishes-wash/7127350531.html, https://www.google.com/maps/search/41.903300,-87.633600, 0BR  /  1Ba cats are OK - purrr dogs are OK - wooof apartment w/d in unit attached garage, 1 hour 3 mins, 21 mins, 36 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-virtual-tours-available-2nd/7127350187.html, https://www.google.com/maps/search/41.933008,-87.640019, available jun 1 cats are OK - purrr apartment laundry in bldg, 1 hour 39 mins, 29 mins, 54 mins,
